Pm.5,Ω,e/a.1,EWF.2,G,ad-e/n.4,ad-G.1,δ-e/n.2,δ-ρ.1,
3,2.657,1.9,4.94,65.88,0.0357,23.58,0.1438,0.1091,FCC
1,3.9214,1.75,4.545,82.525,0.0357,16.2575,0.1346,0.0928,FCC
1,3.025,1.9,4.68,73.81,0.0361,16.705,0.1221,0.0896,FCC
1,3.0786,1.9,4.7325,74.07,0.0358,16.835,0.1216,0.0881,FCC
4,2.7884,1.95,4.6525,69.845,0.0334,17.667,0.1124,0.087,FCC
1,2.9805,1.95,4.7575,70.365,0.032,17.979,0.1103,0.0828,FCC
1,3.1564,1.9,4.6725,71.67,0.035,18.762,0.1193,0.0892,FCC
4,4.2848,1.8,4.8075,71.145,0.0256,15.687,0.0816,0.0575,FCC
4,2.0396,1.65,4.7,65.675,0.0299,17.9175,0.0922,0.0598,FCC
4,4.2749,1.8,4.8,69.005,0.0253,17.2635,0.0813,0.0572,FCC
4,3.8865,1.8,4.7675,68.92,0.0259,17.204,0.0838,0.0591,FCC
4,3.949,1.75,4.84,67.38,0.0235,18.134,0.0769,0.0515,FCC
3,3.642,1.75,4.8075,67.295,0.0252,18.066,0.0809,0.0548,FCC
4,3.2705,1.7,4.815,65.585,0.0244,18.5265,0.0791,0.0516,FCC
4,2.7816,1.65,4.79,63.79,0.0253,18.56,0.0811,0.0517,FCC
4,2.2468,1.65,4.725,63.62,0.0286,18.39,0.0891,0.0576,FCC
3,1.8822,1.6,4.7,61.825,0.0297,18.0475,0.0913,0.0577,FCC
4,11.0218,1.9,4.875,70.54,0.0218,16.704,0.0717,0.0542,FCC
2,5.8799,1.85,4.8175,68.66,0.0235,17.712,0.0777,0.0568,FCC
2,4.9432,1.8,4.8575,67.035,0.0228,18.548,0.0747,0.0512,FCC
2,4.5756,1.8,4.825,66.95,0.024,18.48,0.0782,0.0545,FCC
4,4.1839,1.8,4.7925,66.865,0.0247,18.412,0.081,0.057,FCC
4,4.1937,1.75,4.865,65.325,0.022,18.9825,0.0728,0.0472,FCC
3,3.893,1.75,4.8325,65.24,0.0238,18.906,0.0773,0.0513,FCC
4,3.5717,1.75,4.8,65.155,0.0251,18.8295,0.081,0.0546,FCC
4,3.2394,1.75,4.7675,65.07,0.026,18.753,0.084,0.0571,FCC
4,2.3071,1.7,4.71,63.19,0.0276,18.65,0.0893,0.0591,FCC
4,2.7095,1.65,4.7825,61.65,0.0258,18.545,0.0818,0.0515,FCC
4,2.4306,1.65,4.75,61.565,0.0274,18.4515,0.0858,0.0548,FCC
4,33.7395,1.95,4.8275,70.025,0.0198,17.085,0.0697,0.0581,FCC
2,11.304,1.9,4.9,68.485,0.0205,18.2795,0.0683,0.0508,FCC
2,9.6673,1.9,4.835,68.315,0.0213,18.1605,0.0731,0.0564,FCC
3,6.6795,1.85,4.875,66.69,0.0216,18.962,0.0717,0.0509,FCC
3,6.1987,1.85,4.8425,66.605,0.0224,18.894,0.0747,0.0541,FCC
2,5.6665,1.85,4.81,66.52,0.0226,18.826,0.077,0.0566,FCC
1,4.0287,1.8,4.785,64.725,0.0239,19.1325,0.0805,0.0567,FCC
2,3.7807,1.75,4.825,63.1,0.0239,19.25,0.0775,0.0511,FCC
4,3.447,1.75,4.7925,63.015,0.0248,19.165,0.0809,0.0543,FCC
2,3.1004,1.75,4.76,62.93,0.0253,19.08,0.0836,0.0568,FCC
4,3.0963,1.7,4.8,61.305,0.025,18.8555,0.08,0.0512,FCC
4,2.79,1.7,4.7675,61.22,0.026,18.762,0.0836,0.0545,FCC
3,2.1381,1.7,4.7025,61.05,0.0267,18.575,0.0889,0.0588,FCC
4,2.299,1.65,4.7425,59.425,0.0272,18,0.0861,0.0546,FCC
4,1.9898,1.65,4.71,59.34,0.0279,17.898,0.0892,0.0571,FCC
2,42.6432,1.95,4.9175,68.14,0.0188,18.728,0.0638,0.0505,FCC
3,39.2846,1.95,4.885,68.055,0.0189,18.6685,0.066,0.0536,FCC
3,33.9721,1.95,4.8525,67.97,0.0185,18.609,0.0673,0.056,FCC
3,10.7875,1.9,4.8925,66.345,0.02,19.376,0.0678,0.0506,FCC
2,10.011,1.9,4.86,66.26,0.0202,19.308,0.0702,0.0538,FCC
3,9.0952,1.9,4.8275,66.175,0.02,19.24,0.0719,0.0562,FCC
3,6.4325,1.85,4.8675,64.55,0.0212,19.665,0.0714,0.0507,FCC
4,5.9318,1.85,4.835,64.465,0.0216,19.5885,0.0741,0.0539,FCC
4,5.3834,1.85,4.8025,64.38,0.0214,19.512,0.076,0.0563,FCC
4,5.2966,1.8,4.9075,62.925,0.02,19.765,0.0665,0.0416,FCC
2,4.6366,1.8,4.8425,62.755,0.0224,19.595,0.0747,0.0508,FCC
4,4.2389,1.8,4.81,62.67,0.0229,19.51,0.0776,0.054,FCC
4,3.8166,1.8,4.7775,62.585,0.0229,19.425,0.0798,0.0564,FCC
3,3.6205,1.75,4.8175,60.96,0.0236,19.166,0.0776,0.0509,FCC
2,2.9083,1.75,4.7525,60.79,0.0243,18.979,0.0831,0.0566,FCC
4,2.619,1.7,4.76,59.08,0.0256,18.276,0.0836,0.0542,FCC
2,2.2741,1.7,4.7275,58.995,0.0258,18.174,0.0862,0.0567,FCC
3,2.1129,1.65,4.735,57.285,0.0269,17.1205,0.0862,0.0543,FCC
2,36.4079,1.95,4.91,66,0.0179,19.79,0.0628,0.0503,FCC
4,11.1072,1.9,4.95,64.375,0.018,20.1975,0.0604,0.0413,FCC
3,10.1823,1.9,4.885,64.205,0.0192,20.0445,0.0671,0.0504,FCC
3,9.3766,1.9,4.8525,64.12,0.0191,19.968,0.0692,0.0535,FCC
4,8.4501,1.9,4.82,64.035,0.0185,19.8915,0.0705,0.0559,FCC
4,7.0735,1.85,4.9575,62.665,0.0176,20.195,0.0589,0.0347,FCC
4,6.5685,1.85,4.8925,62.495,0.0201,20.025,0.0678,0.0465,FCC
2,6.1216,1.85,4.86,62.41,0.0205,19.94,0.071,0.0505,FCC
4,5.6028,1.85,4.8275,62.325,0.0205,19.855,0.0733,0.0536,FCC
4,4.4039,1.8,4.835,60.615,0.0219,19.4765,0.0744,0.0506,FCC
2,3.9904,1.8,4.8025,60.53,0.022,19.383,0.077,0.0538,FCC
3,3.5468,1.8,4.77,60.445,0.0216,19.2895,0.0789,0.0562,FCC
3,3.0663,1.8,4.7375,60.36,0.0207,19.196,0.0801,0.0579,FCC
3,3.4154,1.75,4.81,58.82,0.0232,18.654,0.0775,0.0507,FCC
3,3.0502,1.75,4.7775,58.735,0.0234,18.552,0.0803,0.0539,FCC
3,2.6527,1.75,4.745,58.65,0.0231,18.45,0.0825,0.0563,FCC
4,2.3911,1.7,4.7525,56.94,0.0249,17.362,0.0834,0.054,FCC
4,2.2171,1.65,4.76,55.23,0.0259,15.932,0.0829,0.0509,FCC
3,31.8952,1.95,4.9675,64.03,0.0165,20.577,0.0561,0.041,FCC
3,19.8655,1.95,4.805,63.605,0.017,20.1945,0.0633,0.0571,FCC
3,10.5847,1.9,4.975,62.32,0.0167,20.54,0.0558,0.0345,FCC
4,10.1616,1.9,4.91,62.15,0.0182,20.37,0.0637,0.0462,FCC
3,7.7388,1.9,4.8125,61.895,0.0174,20.115,0.0689,0.0556,FCC
4,6.7961,1.85,4.95,60.525,0.0178,20.0675,0.0593,0.0346,FCC
3,6.5876,1.85,4.9175,60.44,0.0189,19.974,0.0639,0.0412,FCC
3,6.2224,1.85,4.885,60.355,0.0195,19.8805,0.0675,0.0463,FCC
3,5.2149,1.85,4.82,60.185,0.0193,19.6935,0.0723,0.0534,FCC
3,3.6869,1.8,4.795,58.39,0.0208,18.828,0.0763,0.0535,FCC
4,3.2047,1.8,4.7625,58.305,0.0201,18.726,0.0778,0.0559,FCC
4,3.5191,1.75,4.835,56.765,0.0222,17.8245,0.074,0.0465,FCC
3,2.4854,1.7,4.7775,54.885,0.024,16.139,0.0803,0.0506,FCC
4,1.6573,1.55,4.665,61.71,0.0369,20.052,0.1613,0.0708,FCC
4,1.8942,1.6,4.6825,61.365,0.0351,20.328,0.1592,0.0706,FCC
4,1.7784,1.55,4.69,59.655,0.0358,19.5115,0.1597,0.0678,FCC
3,2.0117,1.6,4.7075,59.31,0.0336,19.753,0.1578,0.0676,FCC
4,4.0143,1.7,4.6865,56,0.0309,17.85,0.1354,0.1199,FCC
1,5.0124,1.75,4.687,49.835,0.0442,15.8325,0.1959,0.1905,BCC+FCC
4,9.4932,1.8,4.7215,55.31,0.0272,18.333,0.1282,0.1193,FCC
