Pm,ΔH,ΔS,Ω,ρ,e/a,EWF,α,HD,B,G,ad-e/n,ad-r,ad-α,ad-HD,ad-G,δ-VEC,δ-e/n,δ-Tm,δ-ρ,δ-χ,δ-e/a,δ-Ec,δ-EWF,δ-ABE,δ-SLHF,δ-α,δ-HD,δ-G,δ-υ,δ-G/B,Phase
2,-3.1523,14.6974,8.3207,8.0018,1.6364,4.7209,12.1636,115.9999,164.6453,68.8272,0.0482,3.6641,2.6578,62.1817,26.443,0.2563,0.1899,0.1423,0.1617,0.0676,0.294,0.0921,0.06,0.1271,0.1811,0.2764,0.6273,0.4275,0.2103,0.4263,IM
1,-9.1652,10.8708,1.8806,7.2567,2.13,4.4564,16.871,232.65,144.415,73.852,0.0288,6.4744,4.9367,176.451,11.6095,0.2681,0.1238,0.177,0.2521,0.086,0.1579,0.1753,0.0819,0.2463,0.2099,0.2972,0.8297,0.2352,0.1161,0.1751,IM
1,-5.093,13.9285,4.8785,7.9508,1.824,4.6426,13.5648,207.668,165.0304,78.5136,0.0336,3.7515,3.6826,132.3643,17.1144,0.1981,0.128,0.1371,0.1287,0.0787,0.2358,0.1412,0.0817,0.1824,0.1745,0.3777,0.7652,0.3102,0.2286,0.3569,FCC
1,-10.2729,10.9534,1.6648,7.1947,2.14,4.4407,17.499,247.95,141.582,73.171,0.0302,6.4365,4.901,191.558,12.3119,0.2791,0.1284,0.1804,0.262,0.0886,0.1621,0.1819,0.0856,0.2565,0.2179,0.2839,0.8154,0.244,0.1229,0.1822,IM
1,-9.4033,13.3673,2.5857,7.9245,1.8545,4.7964,12.0782,134.1818,173.1782,71.6782,0.0406,3.3463,2.4436,70.562,25.4278,0.2442,0.1633,0.1301,0.1882,0.0645,0.2393,0.0572,0.0656,0.1242,0.1951,0.2931,0.5949,0.4061,0.2178,0.4336,IM
5,-2.1715,10.5905,9.2447,8.1825,1.8251,4.6575,11.2654,156.0198,178.2131,80.7139,0.0288,1.1421,1.8822,41.3332,14.1032,0.1407,0.1518,0.1394,0.0874,0.0543,0.2082,0.1264,0.0533,0.0626,0.1393,0.2315,0.3689,0.2826,0.1812,0.3113,IM
1,-3.9237,13.3433,6.1294,8.0559,1.8,4.6455,13.375,217.24,167.239,78.236,0.0319,3.2963,3.5255,129.5536,17.499,0.1734,0.1217,0.1187,0.0869,0.0779,0.2222,0.1402,0.0806,0.1733,0.1593,0.3716,0.7186,0.3127,0.2378,0.3766,FCC
1,1.0904,10.085,19.973,6.61,1.875,4.2025,8.25,99.125,122.375,25.35,0.0437,6.5234,1.95,43.9062,4.925,0.0802,0.3397,0.1332,0.4352,0.078,0.1764,0.169,0.0388,0.163,0.1919,0.2421,0.4667,0.2597,0.0271,0.132,BCC
2,-9.3467,14.1581,2.7453,7.3776,1.939,4.6122,12.8854,129.9388,167.9559,76.2987,0.055,6.7363,4.2442,67.6308,25.9871,0.3238,0.2337,0.3033,0.3216,0.0896,0.3355,0.2156,0.0611,0.2056,0.2848,0.4549,0.6121,0.4206,0.1662,0.2979,IM
2,-8.094,12.8122,2.7635,7.4719,1.9474,4.6747,12.8807,126.0528,163.5283,73.9545,0.0353,4.0079,3.1025,61.3482,22.7658,0.2792,0.1413,0.195,0.2525,0.0595,0.2791,0.0758,0.0654,0.1647,0.238,0.3685,0.5843,0.3745,0.1954,0.3457,BCC+FCC
