Pm,ΔS,EWF,ad-e/n,δ-VEC,δ-EWF,δ-G,δ-G/B,Phase
1,14.6972,4.6373,0.0473,0.3544,0.0602,0.4718,0.3905,BCC+FCC
1,13.1452,4.5344,0.0831,0.3572,0.0748,0.5105,0.4905,IM
3,13.1545,4.3509,0.0337,0.1625,0.0432,0.7052,0.3905,IM
3,14.2323,4.7277,0.053,0.3122,0.0663,0.4777,0.4232,IM
3,13.3081,4.2979,0.0393,0.1494,0.0382,0.7274,0.3704,BCC
3,11.2387,4.7971,0.0309,0.274,0.0694,0.3645,0.314,BCC+FCC
2,13.3809,4.406,0.0356,0.1439,0.0321,0.6071,0.3429,BCC
1,5.9458,4.3303,0.0114,0.157,0.0189,0.3741,0.2579,BCC
1,12.9758,4.655,0.0382,0.3116,0.0666,0.4002,0.3428,BCC
3,11.5144,4.5976,0.0462,0.3957,0.0708,0.4131,0.2587,IM
3,12.9664,4.245,0.0461,0.1505,0.0519,0.6867,0.3054,BCC
1,13.716,4.6583,0.0546,0.242,0.058,0.346,0.3017,BCC
1,14.5334,4.543,0.0418,0.2954,0.0768,0.3111,0.2464,BCC+FCC
3,9.6495,4.365,0.0187,0.1046,0.0633,0.1997,0.2439,FCC
3,13.1452,4.6678,0.0431,0.3584,0.0643,0.3978,0.2831,IM
2,13.3809,4.306,0.0314,0.1559,0.041,0.6935,0.3875,IM
3,15.9953,4.6673,0.0567,0.3373,0.0642,0.4855,0.4287,IM
3,15.8208,4.6293,0.0653,0.3727,0.0652,0.5375,0.4605,IM
3,13.3507,4.6979,0.0424,0.3469,0.0667,0.3945,0.2763,IM
4,12.9774,4.8261,0.0372,0.2212,0.0643,0.331,0.357,FCC
3,12.2615,4.5699,0.0476,0.4715,0.0732,0.5506,0.3468,BCC
3,11.6207,4.2441,0.0366,0.1244,0.0318,0.5849,0.2742,BCC
3,13.2539,4.2445,0.0365,0.172,0.0547,0.8333,0.3953,BCC
1,15.7145,4.6642,0.0542,0.3469,0.0655,0.4521,0.382,BCC+FCC
1,13.3809,4.506,0.0861,0.3496,0.0739,0.4822,0.4706,IM
3,12.9757,4.7833,0.0705,0.2394,0.0695,0.3498,0.261,IM
2,13.6693,4.78,0.0453,0.2617,0.0671,0.4278,0.445,FCC
1,10.5067,4.8456,0.0461,0.2615,0.0632,0.4174,0.458,FCC
1,14.6972,4.6527,0.0683,0.3075,0.0715,0.4335,0.4327,IM
1,15.6118,4.6377,0.0637,0.2512,0.0843,0.338,0.3928,IM
3,11.0757,4.55,0.0348,0.2023,0.0742,0.1754,0.1883,BCC+FCC
3,13.3507,4.7112,0.053,0.276,0.0672,0.4537,0.4639,IM
4,6.724,4.411,0.0741,0.3206,0.0557,0.2768,0.277,IM
1,13.6642,4.6731,0.0711,0.2477,0.0666,0.439,0.4961,IM
3,13.1452,4.7333,0.0416,0.2191,0.0666,0.3467,0.4005,IM
3,13.2416,4.7196,0.065,0.2416,0.0696,0.3746,0.2961,IM
3,13.2952,4.7426,0.0725,0.2433,0.0687,0.371,0.2752,IM
3,10.9812,4.2013,0.0349,0.1107,0.0287,0.5747,0.3258,IM
3,11.5257,4.3775,0.0369,0.2485,0.0296,0.7467,0.3344,BCC
3,10.0849,4.2025,0.0437,0.0802,0.0388,0.2597,0.132,BCC
1,14.6972,4.6573,0.0732,0.2817,0.0704,0.448,0.4751,IM
1,14.8548,4.6017,0.0384,0.2911,0.0815,0.3802,0.3557,BCC+FCC
1,14.2323,4.6585,0.0809,0.3499,0.073,0.4504,0.2609,IM
3,14.2323,4.6508,0.05,0.3076,0.0641,0.4075,0.3286,IM
3,13.1452,4.2489,0.0468,0.1538,0.0253,0.3591,0.2762,IM
3,13.2955,4.6556,0.0511,0.3642,0.0674,0.4014,0.2739,IM
1,5.8831,4.211,0.0126,0.1614,0.0672,0.1677,0.1822,BCC
1,13.011,4.6723,0.0529,0.3907,0.0726,0.4159,0.2618,BCC+FCC
2,11.9243,4.8444,0.0412,0.1909,0.0645,0.3047,0.3657,IM
3,13.2066,4.7571,0.0719,0.2422,0.0691,0.3635,0.2702,IM
3,10.9534,4.4407,0.0302,0.2791,0.0856,0.244,0.1822,IM
3,11.5257,4.42,0.0551,0.1579,0.0311,0.4842,0.4326,BCC
3,15.7618,4.6881,0.0472,0.2985,0.0637,0.4126,0.3813,BCC+FCC
3,9.1339,4.2933,0.0385,0.101,0.0077,0.4236,0.255,BCC
1,15.5993,4.6467,0.0605,0.246,0.0844,0.3312,0.3861,IM
1,14.6972,4.6782,0.0554,0.3373,0.0677,0.4479,0.3605,BCC
3,14.5338,4.7175,0.056,0.3309,0.0699,0.4259,0.3451,IM
3,12.7077,4.3765,0.0352,0.1704,0.0285,0.6552,0.3255,BCC
3,13.3809,4.68,0.0728,0.2487,0.0517,0.3012,0.2517,FCC
1,13.3809,4.39,0.0544,0.1481,0.0475,0.4931,0.4052,IM
3,12.5685,4.3657,0.0483,0.1653,0.0307,0.5684,0.2786,BCC
3,15.9242,4.6754,0.0489,0.3051,0.0645,0.4121,0.3807,IM
3,12.5108,4.619,0.1039,0.4333,0.0941,0.5972,0.4181,IM
1,10.4492,4.3635,0.0258,0.2435,0.0887,0.2614,0.2738,FCC
3,11.7465,4.5802,0.0392,0.3001,0.0576,0.3399,0.2754,IM
3,13.2542,4.3145,0.0404,0.1486,0.0386,0.7013,0.3637,BCC
4,10.5906,4.6575,0.0288,0.1407,0.0533,0.2826,0.3113,IM
1,14.8967,4.6217,0.0659,0.3526,0.0724,0.4664,0.4192,IM
1,14.5342,4.5475,0.0662,0.3996,0.0634,0.559,0.2958,IM
3,12.4462,4.226,0.0348,0.1055,0.0301,0.4455,0.2669,BCC
3,11.5257,4.7375,0.0432,0.2339,0.0736,0.2966,0.3127,FCC
3,12.6884,4.8149,0.0472,0.1752,0.0564,0.3936,0.4319,FCC
1,14.3353,4.6819,0.0505,0.341,0.0691,0.4483,0.3697,BCC
3,13.2283,4.4978,0.0593,0.4025,0.0697,0.2422,0.2601,IM
3,14.4228,4.5841,0.0565,0.3812,0.0663,0.4515,0.3016,IM
1,13.2539,4.7364,0.0729,0.211,0.0555,0.3238,0.3373,IM
3,11.0707,4.6712,0.0494,0.2661,0.0671,0.3136,0.3117,BCC
1,12.8124,4.6747,0.0353,0.2792,0.0654,0.3745,0.3457,BCC+FCC
1,14.5342,4.6225,0.0518,0.4041,0.0723,0.523,0.4041,BCC
1,14.8967,4.68,0.0469,0.3411,0.0646,0.448,0.3724,BCC+FCC
1,12.9758,4.6633,0.0527,0.2839,0.0644,0.451,0.459,IM
3,10.6859,4.8369,0.025,0.2086,0.0644,0.3318,0.3252,FCC
1,12.8253,4.4581,0.0438,0.3041,0.0271,0.4364,0.2664,BCC
3,11.7645,4.84,0.0389,0.1926,0.069,0.3015,0.3698,FCC
3,10.7941,4.586,0.0248,0.1418,0.0867,0.1298,0.2035,FCC
3,12.8584,4.7982,0.0431,0.2325,0.065,0.412,0.4508,BCC
1,15.8417,4.5712,0.0626,0.451,0.0668,0.5716,0.4176,BCC
3,11.5257,4.3025,0.0361,0.1951,0.0041,0.2879,0.2353,BCC
1,14.689,4.666,0.0646,0.3039,0.0711,0.4281,0.426,IM
3,11.5257,4.4625,0.0666,0.1744,0.0215,0.3943,0.2783,IM
1,14.4071,4.5913,0.0901,0.3535,0.0734,0.5061,0.3367,IM
3,9.1339,4.8833,0.0423,0.204,0.0569,0.3827,0.465,FCC
3,14.6101,4.6922,0.0578,0.3518,0.0692,0.4677,0.3761,IM
3,14.8967,4.6517,0.0614,0.3981,0.0699,0.464,0.3265,BCC+FCC
1,10.9149,4.3998,0.0292,0.0907,0.0352,0.4688,0.2695,BCC
2,11.5257,4.29,0.0555,0.1951,0.0068,0.4332,0.2528,IM
1,14.2129,4.688,0.0467,0.3344,0.0701,0.4516,0.3996,BCC+FCC
1,12.8852,4.7757,0.0787,0.3066,0.0743,0.5011,0.523,BCC+FCC
1,13.1452,4.7611,0.0618,0.1954,0.06,0.392,0.3712,IM
3,11.5257,4.6025,0.0809,0.5051,0.0753,0.5106,0.2655,FCC
3,11.5257,4.2025,0.0588,0.1768,0.0418,0.2104,0.2394,BCC
3,13.3809,4.406,0.0407,0.1439,0.0277,0.5773,0.4849,BCC
3,12.8276,4.1544,0.0425,0.1262,0.0422,0.2769,0.2221,BCC
1,14.5409,4.6107,0.0879,0.3534,0.0736,0.4912,0.3172,IM
3,13.2539,4.1818,0.0588,0.1709,0.0391,0.2436,0.2885,IM
1,14.221,4.2929,0.0549,0.3278,0.0359,0.513,0.3753,BCC+FCC
3,11.2961,4.4388,0.0329,0.3286,0.0829,0.3007,0.1944,IM
3,13.3809,4.346,0.0524,0.1265,0.0242,0.6881,0.3313,BCC
3,14.5334,4.631,0.0535,0.3405,0.0632,0.4736,0.3783,IM
3,13.357,4.727,0.0729,0.2439,0.0681,0.3789,0.2804,IM
3,13.2836,4.4611,0.0325,0.2467,0.0655,0.2925,0.2436,BCC
1,14.2216,4.7435,0.0422,0.2232,0.0579,0.3931,0.4068,IM
3,12.6477,4.2816,0.0329,0.1539,0.0392,0.7863,0.3856,BCC
3,13.1452,4.2256,0.0319,0.175,0.0599,0.7999,0.3997,BCC
3,14.6972,4.6182,0.0383,0.2071,0.0813,0.3126,0.3673,FCC
1,14.7411,4.7054,0.0757,0.2305,0.0619,0.3725,0.3845,IM
1,14.8707,4.7007,0.0534,0.2827,0.0615,0.4569,0.4428,IM
3,12.0169,4.8019,0.0341,0.2536,0.0682,0.3741,0.3431,IM
1,11.2387,4.3686,0.0377,0.1852,0.0338,0.5077,0.2429,IM
3,12.4921,4.6616,0.0364,0.2455,0.0787,0.244,0.2256,IM
1,12.8253,4.7521,0.0368,0.248,0.0653,0.373,0.3917,FCC
1,12.5596,4.4833,0.0329,0.289,0.0925,0.3176,0.316,FCC
1,11.5257,4.24,0.0477,0.1768,0.0262,0.2878,0.3115,IM
3,5.7628,5.075,0.0119,0.0526,0.0148,0.3463,0.3846,FCC
3,15.9085,4.6379,0.0636,0.3652,0.0651,0.526,0.4536,IM
1,14.8967,4.4767,0.0528,0.4032,0.0692,0.5655,0.447,IM
1,14.3281,4.7003,0.0435,0.324,0.0679,0.4307,0.3818,BCC+FCC
3,13.3448,4.1771,0.0571,0.1652,0.0397,0.2496,0.2846,IM
1,11.5257,4.3575,0.0458,0.2294,0.0324,0.5541,0.2265,IM
3,12.1979,4.7829,0.0364,0.1832,0.0607,0.3317,0.3917,FCC
3,13.1452,4.2289,0.0378,0.1825,0.0601,0.8499,0.4139,BCC
3,12.4921,4.6627,0.0378,0.239,0.0785,0.2483,0.2398,IM
1,9.5922,4.5143,0.0195,0.1142,0.0535,0.2492,0.2974,BCC+FCC
3,11.5257,4.195,0.0449,0.1111,0.0412,0.4325,0.226,BCC
3,13.2112,4.5617,0.1078,0.4364,0.0904,0.5663,0.3999,IM
1,12.6016,4.8091,0.041,0.2131,0.0681,0.3105,0.3621,IM
3,13.4679,4.8249,0.0442,0.2883,0.0709,0.4135,0.386,IM
1,13.1452,4.6933,0.0598,0.3621,0.075,0.4816,0.379,BCC+FCC
1,13.2539,4.6491,0.0467,0.3896,0.0724,0.4819,0.371,BCC+FCC
1,6.4197,4.2252,0.0141,0.1711,0.0704,0.1784,0.1933,BCC+FCC
3,13.3809,4.582,0.068,0.4427,0.0682,0.4786,0.2719,FCC
1,10.8339,4.5056,0.0439,0.5229,0.0707,0.5935,0.3195,FCC
3,15.5451,4.6535,0.0529,0.3696,0.0697,0.4943,0.4124,BCC
4,10.6573,4.8374,0.03,0.161,0.0551,0.4212,0.5109,IM
4,13.1452,4.7667,0.0492,0.196,0.0622,0.3226,0.3196,IM
3,12.4815,4.559,0.027,0.1511,0.0707,0.2967,0.3509,IM
2,9.1339,4.2267,0.0315,0.1088,0.0297,0.3352,0.141,BCC
3,15.5993,4.6133,0.0677,0.386,0.0653,0.5584,0.4725,IM
1,13.3809,4.366,0.0295,0.1789,0.0451,0.7747,0.4489,IM
3,14.677,4.5671,0.0568,0.3901,0.0658,0.4927,0.3387,IM
3,14.5338,4.705,0.0544,0.3241,0.0671,0.4649,0.3958,IM
3,14.8159,4.536,0.1186,0.4357,0.102,0.5422,0.3735,IM
4,10.1449,4.7905,0.0452,0.2404,0.0705,0.2528,0.271,FCC
1,13.3321,4.75,0.0722,0.2009,0.0593,0.4025,0.3602,IM
3,13.3809,4.296,0.0506,0.1559,0.0335,0.69,0.6103,IM
3,11.1836,4.2405,0.0367,0.1113,0.0267,0.5047,0.2708,BCC
1,12.6016,4.5473,0.0503,0.4381,0.0671,0.4919,0.2562,BCC
1,12.9664,4.7788,0.0328,0.2696,0.0659,0.3617,0.2994,FCC
3,13.2556,4.802,0.0475,0.3277,0.0707,0.4587,0.3952,BCC+FCC
3,13.3809,4.216,0.0592,0.1739,0.0507,0.7733,0.6456,IM
1,11.0999,4.772,0.0487,0.3238,0.068,0.4952,0.4881,BCC+FCC
1,10.0236,4.8835,0.0412,0.3307,0.0681,0.4555,0.401,BCC+FCC
1,11.4419,4.74,0.0392,0.3615,0.0764,0.4002,0.2677,BCC+FCC
1,10.1769,4.855,0.0434,0.3632,0.0743,0.4243,0.304,BCC+FCC
1,10.3061,4.604,0.0465,0.2657,0.0656,0.3283,0.3531,BCC+FCC
1,10.3824,4.7795,0.0484,0.3196,0.0681,0.3968,0.2561,BCC+FCC
3,11.4419,4.795,0.0344,0.1831,0.0625,0.3012,0.365,FCC
1,10.8536,4.87,0.0354,0.1813,0.0571,0.3803,0.4609,FCC
4,11.0999,4.8,0.0253,0.1232,0.0585,0.2641,0.2507,FCC
2,10.1769,4.915,0.028,0.1165,0.0547,0.3126,0.3181,FCC
2,10.8536,4.8575,0.0292,0.167,0.0648,0.2949,0.3265,FCC
2,10.3824,4.8975,0.0341,0.1909,0.0632,0.3294,0.3582,FCC
1,10.782,4.8245,0.0487,0.2491,0.0847,0.3977,0.4396,BCC+FCC
1,13.1708,4.6295,0.0474,0.3377,0.0523,0.4991,0.443,BCC+FCC
1,12.4412,4.6335,0.0505,0.366,0.0538,0.4791,0.3999,BCC+FCC
1,12.8408,4.7605,0.0495,0.2999,0.0619,0.4442,0.3906,BCC+FCC
1,13.0871,4.6735,0.0585,0.3825,0.0632,0.5062,0.3994,BCC+FCC
1,11.217,4.8585,0.0417,0.3344,0.068,0.4584,0.4016,BCC+FCC
1,12.2237,4.8085,0.0409,0.3329,0.0735,0.4147,0.3365,BCC+FCC
1,12.5945,4.6575,0.0429,0.3708,0.0737,0.4108,0.2812,BCC+FCC
1,12.8408,4.69,0.0474,0.3812,0.0762,0.425,0.3047,BCC+FCC
1,12.377,4.715,0.0523,0.3938,0.0765,0.4671,0.3695,BCC+FCC
1,11.9774,4.7975,0.0491,0.3783,0.0763,0.4664,0.3718,BCC+FCC
1,12.9245,4.6675,0.0422,0.3643,0.071,0.4651,0.3737,BCC+FCC
1,13.0871,4.6065,0.0459,0.4024,0.07,0.4912,0.3593,BCC+FCC
1,12.5945,4.624,0.0437,0.3916,0.0697,0.493,0.3769,BCC+FCC
1,12.6521,4.6025,0.0484,0.3105,0.059,0.5247,0.4936,BCC+FCC
1,11.5758,4.6695,0.0436,0.2848,0.0596,0.5248,0.5355,BCC+FCC
1,11.9058,4.842,0.0504,0.3279,0.0727,0.4321,0.3992,BCC+FCC
1,12.6875,4.741,0.0533,0.3681,0.0753,0.5064,0.4631,BCC+FCC
1,12.8408,4.6805,0.0455,0.2925,0.0833,0.3912,0.3866,BCC+FCC
1,12.9245,4.7055,0.045,0.2865,0.0836,0.4083,0.4154,BCC+FCC
1,11.8937,4.681,0.0504,0.371,0.079,0.4192,0.3422,BCC+FCC
1,12.6875,4.7185,0.0508,0.3607,0.0856,0.424,0.358,BCC+FCC
1,12.9458,4.646,0.0464,0.3577,0.0802,0.4636,0.4025,BCC+FCC
1,12.8408,4.6385,0.0449,0.3524,0.0784,0.4864,0.4335,BCC+FCC
1,12.2237,4.6585,0.0461,0.356,0.0739,0.492,0.4387,BCC+FCC
1,11.7645,4.701,0.0464,0.3459,0.0735,0.5391,0.5143,BCC+FCC
3,12.482,4.8065,0.0271,0.1932,0.0564,0.3429,0.3208,FCC
4,12.1233,4.6555,0.0344,0.2584,0.0552,0.3354,0.2599,FCC
4,12.5945,4.8055,0.029,0.2422,0.0639,0.3578,0.3226,FCC
1,11.9774,4.73,0.0427,0.3698,0.0772,0.3802,0.2074,BCC+FCC
1,12.3696,4.675,0.0504,0.3312,0.0612,0.4186,0.3916,BCC+FCC
3,11.4299,4.8465,0.0335,0.1925,0.063,0.3275,0.2939,FCC
1,12.9821,4.664,0.0509,0.3503,0.0713,0.4585,0.3663,BCC+FCC
1,11.7645,4.8325,0.0465,0.3518,0.0752,0.4228,0.3095,BCC+FCC
1,11.8937,4.8165,0.0541,0.3754,0.0764,0.4613,0.3441,BCC+FCC
1,12.482,4.7315,0.0477,0.3855,0.0781,0.4344,0.2917,BCC+FCC
4,11.4995,4.824,0.028,0.2021,0.0659,0.3195,0.3252,FCC
3,10.9586,4.7765,0.0251,0.1946,0.0633,0.3461,0.3733,FCC
1,12.0349,4.6895,0.0463,0.3337,0.0791,0.3139,0.1865,BCC+FCC
4,12.2933,4.5665,0.0248,0.1927,0.0874,0.2652,0.3274,FCC
4,11.8937,4.4905,0.0253,0.229,0.0784,0.3009,0.332,FCC
1,12.1233,4.775,0.054,0.3262,0.0825,0.4539,0.4599,BCC+FCC
1,12.2237,4.639,0.0479,0.2649,0.0503,0.3598,0.2929,BCC+FCC
1,12.8408,4.6855,0.0516,0.3057,0.0614,0.3803,0.2918,BCC+FCC
1,12.2237,4.6345,0.0435,0.3167,0.0608,0.3496,0.2048,BCC+FCC
1,13.0295,4.6335,0.0479,0.3661,0.0682,0.3872,0.2606,BCC+FCC
1,13.0295,4.5585,0.0506,0.3804,0.051,0.435,0.2919,BCC+FCC
1,12.5825,4.6875,0.053,0.3993,0.076,0.4121,0.2519,BCC+FCC
1,12.3696,4.478,0.0508,0.3158,0.0432,0.3939,0.3064,BCC+FCC
1,12.5108,4.483,0.0493,0.3288,0.0369,0.4008,0.3085,BCC+FCC
1,11.1762,4.6885,0.0434,0.3076,0.0739,0.3342,0.2366,BCC+FCC
1,11.2766,4.675,0.0448,0.3586,0.0766,0.3617,0.2066,BCC+FCC
1,11.3007,4.6965,0.0508,0.3971,0.0808,0.3961,0.2114,BCC+FCC
1,12.4412,4.503,0.0416,0.293,0.0521,0.3462,0.2881,BCC+FCC
1,11.6353,4.6745,0.0432,0.3257,0.0767,0.304,0.1829,BCC+FCC
1,12.482,4.631,0.0445,0.3518,0.077,0.3521,0.2386,BCC+FCC
1,11.6353,4.706,0.0474,0.2987,0.0719,0.3521,0.2428,BCC+FCC
1,12.047,4.702,0.0448,0.2908,0.0665,0.3334,0.1867,BCC+FCC
1,11.8937,4.717,0.0461,0.2902,0.0649,0.3499,0.1895,BCC+FCC
1,12.0349,4.706,0.0511,0.3333,0.0675,0.3758,0.1854,BCC+FCC
1,11.2766,4.6825,0.0429,0.3586,0.0761,0.355,0.1672,BCC+FCC
1,11.2766,4.665,0.047,0.3658,0.0784,0.3528,0.1708,BCC+FCC
4,12.8408,4.81,0.0321,0.1708,0.0599,0.32,0.3593,FCC
2,11.3007,4.8925,0.0225,0.1248,0.0573,0.293,0.3336,FCC
3,11.9774,4.8025,0.0242,0.1344,0.0585,0.3067,0.3405,FCC
2,12.047,4.8275,0.0228,0.1315,0.057,0.327,0.3669,FCC
3,11.1762,4.925,0.0369,0.167,0.0567,0.3629,0.4294,FCC
3,11.7933,4.79,0.0371,0.2006,0.0705,0.2453,0.2779,FCC
4,12.047,4.7925,0.0311,0.1782,0.0657,0.3224,0.3709,FCC
4,11.8937,4.535,0.0258,0.1565,0.0836,0.1712,0.2213,FCC
4,12.0349,4.5025,0.0265,0.1574,0.0782,0.1882,0.2252,FCC
1,12.9821,4.5525,0.0288,0.1625,0.084,0.2568,0.3115,FCC
1,12.8287,4.5325,0.0315,0.1747,0.0871,0.2694,0.3137,FCC
1,12.0349,4.8975,0.0275,0.1277,0.0501,0.3699,0.3416,FCC
1,12.6521,4.6595,0.048,0.2643,0.0549,0.391,0.33,BCC+FCC
1,12.8408,4.677,0.0459,0.2602,0.0569,0.3969,0.3502,BCC+FCC
1,12.2933,4.859,0.0269,0.1667,0.0574,0.3472,0.3436,FCC
3,12.2237,4.8575,0.0296,0.1486,0.0552,0.3351,0.3489,FCC
3,11.3007,4.86,0.0287,0.1372,0.0579,0.3345,0.3787,FCC
3,11.5758,4.7775,0.0302,0.1503,0.0556,0.3376,0.3808,FCC
4,12.482,4.8375,0.0357,0.1524,0.0595,0.2985,0.2994,FCC
3,11.5758,4.9125,0.033,0.1404,0.0573,0.2987,0.3175,FCC
3,10.9586,4.93,0.0321,0.1351,0.0559,0.3061,0.3388,FCC
4,12.0108,4.84,0.0334,0.147,0.0567,0.3276,0.3606,FCC
4,11.9058,4.75,0.0292,0.1599,0.0617,0.2609,0.255,FCC
2,12.377,4.8475,0.0274,0.1514,0.0569,0.3121,0.2989,FCC
4,12.8408,4.7975,0.0318,0.187,0.0592,0.318,0.3179,FCC
4,12.0349,4.8825,0.0241,0.1445,0.0555,0.3257,0.3407,FCC
4,11.1762,4.9325,0.0217,0.1362,0.0517,0.3335,0.3558,FCC
1,12.8408,4.615,0.034,0.169,0.089,0.2214,0.2826,FCC
1,11.8937,4.5725,0.0327,0.1725,0.0851,0.2981,0.4244,FCC
1,11.6353,4.6225,0.0313,0.1646,0.0903,0.3062,0.4459,FCC
3,10.4995,4.7275,0.0194,0.1136,0.0597,0.3231,0.3988,FCC
4,10.9586,4.9225,0.0329,0.1485,0.0545,0.3642,0.3632,FCC
1,11.9774,4.669,0.0337,0.1866,0.0923,0.2291,0.2835,FCC
1,12.1233,4.7445,0.044,0.2487,0.0829,0.3315,0.3236,BCC+FCC
1,13.0871,4.7095,0.0442,0.2468,0.0853,0.367,0.3922,BCC+FCC
4,11.4299,4.8575,0.0354,0.167,0.0648,0.3038,0.3381,FCC
4,10.9586,4.7725,0.0318,0.1475,0.0729,0.2254,0.2702,FCC
1,11.217,4.82,0.0372,0.1611,0.0869,0.2925,0.3949,FCC
4,11.8937,4.53,0.027,0.163,0.0901,0.1793,0.2644,FCC
3,11.6353,4.1625,0.0396,0.2294,0.0627,0.37,0.2023,BCC
1,12.0108,4.5125,0.047,0.2261,0.0552,0.324,0.295,BCC+FCC
1,12.047,4.555,0.0356,0.2037,0.092,0.1565,0.2066,FCC
3,12.0349,4.145,0.0361,0.1915,0.0456,0.4342,0.2825,BCC
3,11.5758,4.1505,0.0389,0.1296,0.052,0.5427,0.2386,BCC
3,12.9458,4.405,0.0402,0.0907,0.0342,0.4789,0.2498,BCC
3,11.2766,4.415,0.0416,0.0907,0.0332,0.4967,0.254,BCC
3,11.7645,4.21,0.0426,0.1062,0.0455,0.4462,0.2135,BCC
4,11.5758,4.3925,0.0419,0.107,0.0431,0.4542,0.2259,BCC
3,12.0349,4.1375,0.0419,0.1296,0.0504,0.5515,0.2497,BCC
4,12.4412,4.0985,0.0373,0.0952,0.0433,0.4594,0.2349,BCC
2,10.9586,4.148,0.0423,0.0732,0.0391,0.4314,0.2211,BCC
3,12.6875,4.125,0.0441,0.1118,0.0373,0.4716,0.2824,BCC
4,12.8408,4.1125,0.0401,0.1118,0.0412,0.4126,0.2393,BCC
4,12.9458,4.14,0.0431,0.1111,0.0385,0.4225,0.2581,BCC
2,12.8408,4.125,0.0409,0.1111,0.0421,0.388,0.225,BCC
2,12.9821,4.1575,0.0368,0.1093,0.0363,0.4369,0.2676,BCC
4,12.9245,4.1625,0.0429,0.1026,0.0402,0.3764,0.2183,BCC
4,12.8287,4.1925,0.0383,0.0975,0.0356,0.3711,0.2327,BCC
4,12.6875,4.2125,0.0399,0.0912,0.032,0.3566,0.2331,BCC
4,13.6225,4.659,0.0367,0.2393,0.0532,0.3666,0.3478,FCC
2,13.0175,4.824,0.0323,0.2125,0.0644,0.3272,0.3358,FCC
3,13.6225,4.8315,0.0369,0.2291,0.063,0.3583,0.3654,FCC
3,13.8809,4.799,0.0367,0.2294,0.0632,0.3583,0.3648,FCC
2,13.0175,4.849,0.0316,0.2109,0.0626,0.3497,0.3655,FCC
1,14.0696,4.6705,0.0483,0.3026,0.0599,0.387,0.316,BCC+FCC
1,13.6346,4.613,0.0478,0.3063,0.0502,0.4026,0.324,BCC+FCC
1,13.6346,4.598,0.0431,0.3049,0.0508,0.3805,0.3149,BCC+FCC
1,14.2397,4.753,0.045,0.287,0.0656,0.3806,0.3236,BCC+FCC
1,13.3809,4.803,0.0467,0.2904,0.0688,0.3598,0.3243,BCC+FCC
1,14.0984,4.703,0.0502,0.3034,0.0601,0.4239,0.3591,BCC+FCC
1,13.8401,4.678,0.0511,0.3061,0.0563,0.4377,0.3671,BCC+FCC
1,14.5697,4.688,0.0474,0.3002,0.0588,0.4302,0.3808,BCC+FCC
1,14.3234,4.7055,0.043,0.2877,0.0574,0.4502,0.4185,BCC+FCC
1,14.0221,4.6195,0.0524,0.354,0.0586,0.4247,0.3348,BCC+FCC
1,13.8809,4.587,0.0502,0.3515,0.0529,0.425,0.333,BCC+FCC
1,13.7759,4.6195,0.0537,0.3533,0.0523,0.4902,0.4089,BCC+FCC
1,14.5697,4.7445,0.0444,0.3194,0.0684,0.4275,0.3744,BCC+FCC
1,13.7759,4.7345,0.0414,0.3107,0.0615,0.4213,0.3505,BCC+FCC
1,13.4171,4.7295,0.0496,0.3328,0.0678,0.4667,0.4367,BCC+FCC
1,13.9813,4.7295,0.0439,0.3194,0.0626,0.4908,0.4624,BCC+FCC
1,13.6225,4.6895,0.043,0.318,0.0611,0.4998,0.477,BCC+FCC
1,13.6225,4.697,0.0455,0.3261,0.0604,0.5114,0.4842,BCC+FCC
1,13.1634,4.6385,0.0552,0.3697,0.0592,0.4483,0.2995,BCC+FCC
1,14.0696,4.6985,0.0464,0.3511,0.0691,0.4042,0.2703,BCC+FCC
1,14.4284,4.6085,0.0526,0.3795,0.0577,0.4754,0.3603,BCC+FCC
1,13.8809,4.6435,0.0487,0.3657,0.068,0.4325,0.3448,BCC+FCC
1,13.8401,4.7735,0.048,0.3524,0.0733,0.4237,0.3238,BCC+FCC
1,12.8046,4.8235,0.0437,0.339,0.0733,0.4089,0.3121,BCC+FCC
1,14.4284,4.676,0.0464,0.3564,0.0634,0.4712,0.3904,BCC+FCC
1,13.0871,4.8085,0.042,0.3363,0.0713,0.4371,0.3636,BCC+FCC
1,12.9458,4.776,0.0426,0.3413,0.0663,0.4546,0.4044,BCC+FCC
1,12.6233,4.6725,0.0428,0.376,0.075,0.3864,0.2204,BCC+FCC
1,13.7759,4.68,0.0521,0.3972,0.0744,0.4332,0.2887,BCC+FCC
1,13.4171,4.6725,0.0516,0.3963,0.075,0.4296,0.2971,BCC+FCC
1,13.6346,4.6975,0.0472,0.3832,0.0756,0.4241,0.2895,BCC+FCC
1,14.3234,4.6325,0.0454,0.3828,0.0675,0.4529,0.3284,BCC+FCC
1,13.1587,4.755,0.0532,0.3924,0.0769,0.4596,0.3467,BCC+FCC
1,13.9646,4.6975,0.0525,0.3941,0.0685,0.4958,0.3898,BCC+FCC
1,13.9646,4.7075,0.0493,0.3849,0.0727,0.4961,0.4045,BCC+FCC
1,13.6346,4.69,0.0515,0.3928,0.0667,0.5038,0.4134,BCC+FCC
1,13.3763,4.6675,0.0455,0.3779,0.066,0.5054,0.433,BCC+FCC
1,13.3763,4.6925,0.0474,0.3786,0.0694,0.5276,0.4576,BCC+FCC
1,13.3763,4.6675,0.0483,0.3844,0.066,0.5353,0.463,BCC+FCC
