Pm,e/a,EWF,ad-e/n,δ-e/n,δ-ρ,δ-Ec,δ-G,δ-υ,Phase
1,1.8,4.65,0.0325,0.1239,0.0872,0.1404,0.2962,0.2306,FCC
3,1.75,4.825,0.0239,0.0775,0.0511,0.0929,0.3077,0.133,FCC
1,1.7778,4.7367,0.0469,0.1867,0.1725,0.0485,0.4148,0.2328,IM
3,1.6,4.5575,0.038,0.148,0.0872,0.1392,0.2064,0.1686,BCC+FCC
3,1.6,4.4,0.0431,0.419,0.4113,0.1664,0.5084,0.1174,BCC
1,1.7843,4.6804,0.06,0.2565,0.2299,0.2445,0.4219,0.2147,IM
1,2.2308,4.5923,0.0479,0.1794,0.4494,0.1153,0.5326,0.1802,BCC+FCC
3,1.6,4.5725,0.0408,0.1536,0.0903,0.1445,0.2498,0.1751,BCC+FCC
1,2,4.745,0.0566,0.2293,0.2386,0.0481,0.4548,0.1551,FCC
1,1.8518,4.7204,0.0607,0.2319,0.2199,0.072,0.4488,0.2061,IM
3,1.8333,4.2633,0.0433,0.2732,0.189,0.1575,0.3287,0.0674,IM
3,1.75,4.79,0.0381,0.1376,0.0901,0.0784,0.2383,0.1955,FCC
3,1.7875,4.149,0.0393,0.4136,0.4155,0.1731,0.2831,0.0424,BCC
3,1.6375,4.2876,0.0319,0.3218,0.4636,0.1731,0.6936,0.1135,IM
3,1.9091,4.725,0.0593,0.2366,0.1546,0.1556,0.3604,0.134,IM
3,1.6845,4.4074,0.0342,0.1491,0.1031,0.1588,0.3131,0.2072,BCC+FCC
1,1.8571,4.6329,0.085,0.4144,0.5143,0.3615,0.4729,0.1674,IM
1,1.871,4.6671,0.048,0.1785,0.3197,0.1074,0.4598,0.1858,BCC+FCC
3,2.619,4.4524,0.0346,0.1756,0.5974,0.1159,0.6404,0.1362,IM
2,1.7456,4.8247,0.0477,0.2099,0.0803,0.1859,0.3178,0.2049,IM
3,1.7619,4.7067,0.0496,0.195,0.222,0.0882,0.4438,0.2151,FCC
3,1.75,4.35,0.0476,0.4783,0.4334,0.1786,0.5803,0.1144,BCC
3,1.875,4.4625,0.0201,0.0805,0.0589,0.1497,0.2339,0.1947,IM
3,2.125,4.2713,0.0517,0.3731,0.6455,0.2836,0.8154,0.1197,IM
1,2,4.392,0.0708,0.4318,0.3792,0.277,0.2847,0.0739,IM
1,1.8571,4.6324,0.035,0.1332,0.1706,0.1421,0.3288,0.2258,FCC
3,2.0706,4.5844,0.0464,0.1769,0.3917,0.1054,0.4336,0.1615,IM
2,1.8333,4.7591,0.0533,0.2092,0.2032,0.0514,0.4622,0.2197,IM
1,1.9091,4.6582,0.0564,0.2215,0.293,0.0873,0.5098,0.2197,IM
1,1.6,4.7575,0.0449,0.1853,0.0957,0.1522,0.3669,0.2073,IM
3,2.0769,4.6169,0.0542,0.2239,0.4132,0.205,0.5151,0.1814,IM
1,2,4.5755,0.0561,0.2563,0.4983,0.2436,0.4953,0.1908,BCC
3,2,4.21,0.0434,0.4089,0.5776,0.208,0.603,0.0897,IM
3,1.8545,4.7964,0.0406,0.1633,0.1882,0.0572,0.4061,0.2178,IM
3,1.75,4.35,0.0301,0.1276,0.0909,0.2043,0.2829,0.2018,BCC
3,2,4.6328,0.0494,0.1835,0.3093,0.1268,0.4424,0.1937,BCC
1,1.8571,4.5014,0.0508,0.2601,0.3517,0.2147,0.5725,0.1962,BCC+FCC
1,2.0769,4.6,0.0549,0.2197,0.3859,0.1155,0.5564,0.2014,IM
3,1.541,4.7148,0.0561,0.2421,0.0801,0.2396,0.3889,0.2056,IM
3,2,4.7325,0.0524,0.1827,0.3656,0.1027,0.5105,0.2236,IM
3,1.7144,4.3114,0.0425,0.2685,0.2555,0.1552,0.6254,0.1013,BCC
1,1.5769,4.725,0.0451,0.1777,0.1059,0.1173,0.3139,0.249,IM
1,2.0565,4.2429,0.0158,0.0883,0.1665,0.1703,0.1909,0.1705,BCC+FCC
3,2.0334,4.6249,0.0543,0.2128,0.3608,0.1082,0.5308,0.2065,IM
3,2,4.7554,0.0404,0.1538,0.3078,0.113,0.3809,0.1178,IM
1,1.5769,4.7442,0.0689,0.2907,0.122,0.2185,0.3283,0.2019,IM
1,1.6667,4.63,0.0741,0.3247,0.2001,0.2427,0.4926,0.2171,BCC+FCC
1,2.0847,4.3144,0.0221,0.1054,0.2049,0.187,0.235,0.189,BCC+FCC
3,1.697,4.6815,0.0469,0.1863,0.1576,0.049,0.2851,0.1995,BCC+FCC
3,1.9,4.646,0.0558,0.2331,0.3357,0.2062,0.4249,0.1837,IM
3,1.8751,4.1925,0.0434,0.3925,0.5228,0.1907,0.5081,0.061,BCC
3,1.5556,4.2567,0.0352,0.3575,0.3502,0.1466,0.7875,0.1134,BCC
3,1.9803,4.7334,0.0473,0.1725,0.3078,0.0912,0.335,0.1447,IM
3,1.5455,4.2691,0.0327,0.3325,0.3332,0.1337,0.7921,0.1255,BCC
1,1.875,4.8019,0.0276,0.1099,0.1815,0.0957,0.3353,0.133,FCC
1,1.5291,4.6849,0.0686,0.3059,0.0926,0.2635,0.433,0.2458,IM
3,2,4.7697,0.0436,0.1617,0.2946,0.0881,0.3962,0.1866,BCC+FCC
1,2,4.5511,0.0415,0.1641,0.333,0.1322,0.3739,0.1642,BCC+FCC
1,1.9524,4.6676,0.0517,0.2082,0.3149,0.1924,0.4522,0.2055,IM
3,1.5455,4.2418,0.0311,0.3335,0.3347,0.141,0.7918,0.1065,BCC
3,2.08,4.8186,0.0422,0.1559,0.3084,0.0921,0.4415,0.1799,BCC+FCC
3,1.7,4.229,0.0323,0.2994,0.4547,0.1863,0.4736,0.0565,BCC
3,1.7826,4.5696,0.0522,0.1938,0.3362,0.1062,0.4411,0.1691,IM
3,1.9168,4.6634,0.0526,0.2158,0.3052,0.1885,0.4263,0.19,IM
4,1.2604,4.4823,0.1008,0.5372,0.0305,0.2576,0.3182,0.0989,IM
1,2,4.68,0.0409,0.1596,0.2929,0.0869,0.3187,0.1333,BCC+FCC
1,1.9129,4.3592,0.0209,0.1602,0.2588,0.1631,0.4477,0.1327,BCC
4,1.8002,4.6429,0.0345,0.1723,0.0944,0.15,0.2938,0.1826,IM
1,1.6667,4.5722,0.0379,0.1462,0.088,0.1496,0.2259,0.1648,FCC
3,2.15,4.457,0.0311,0.1313,0.2715,0.1787,0.253,0.1212,IM
3,1.5,4.3625,0.0425,0.3879,0.3757,0.1511,0.4523,0.0958,BCC
3,1.5556,4.3178,0.032,0.2616,0.284,0.1593,0.7702,0.12,BCC
1,1.8333,4.63,0.0582,0.2296,0.2149,0.0886,0.4677,0.2107,IM
3,2,4.75,0.029,0.0997,0.0789,0.18,0.2838,0.2147,FCC
3,1.7945,4.6138,0.057,0.2098,0.2287,0.1448,0.4063,0.1753,BCC
3,1.8571,4.2257,0.0471,0.3397,0.3867,0.1662,0.3707,0.0537,BCC
2,1.81,4.6325,0.0359,0.1382,0.1011,0.1511,0.3056,0.2276,IM
1,1.8462,4.7,0.0394,0.1497,0.1098,0.1457,0.2855,0.2061,FCC
3,1.9,4.275,0.0473,0.3397,0.5836,0.2927,0.4135,0.0799,BCC
3,1.9,4.249,0.048,0.3727,0.5771,0.2502,0.4887,0.0807,IM
3,1.8333,4.7146,0.0696,0.278,0.1606,0.1823,0.3829,0.1332,IM
1,1.6,4.75,0.0654,0.2748,0.1198,0.2109,0.331,0.2058,IM
3,2,4.172,0.0546,0.4468,0.514,0.2531,0.256,0.0725,IM
1,1.7368,4.7137,0.0561,0.2316,0.1686,0.1644,0.4255,0.23,IM
1,1.8679,4.7045,0.0299,0.1282,0.1797,0.0562,0.3328,0.202,FCC
1,1.7037,4.7522,0.0463,0.1603,0.2057,0.0962,0.3165,0.1512,BCC+FCC
1,2.0926,4.3343,0.0237,0.1094,0.2144,0.1894,0.246,0.1919,BCC+FCC
1,2.0781,4.2977,0.0207,0.1018,0.1965,0.1843,0.2253,0.1858,BCC+FCC
3,1.7826,4.7454,0.0385,0.1475,0.1945,0.0753,0.3821,0.2147,FCC
