Pm,Ω,e/a,EWF,G,ad-e/n,ad-G,δ-e/n,δ-ρ,Phase
1,2.519,1.6923,4.6608,61.823,0.064,28.8402,0.2466,0.2326,FCC
3,3.1742,1.8887,4.4588,82.4422,0.0306,14.4232,0.1287,0.2308,BCC
2,4.0773,1.8265,4.6036,75.5895,0.0404,19.0258,0.1574,0.1189,IM
3,5.0707,1.7762,4.6417,65.8732,0.0541,24.3484,0.1993,0.2289,BCC
1,2.1998,2,4.5883,71.1335,0.0396,24.2222,0.1515,0.2927,BCC
1,3.0594,1.5172,4.6879,82.1001,0.0787,25.8966,0.3472,0.1113,IM
1,5.8761,1.4334,4.4084,89.8329,0.0293,39.3574,0.2894,0.3245,BCC
1,4.2901,1.6154,4.7769,88.3922,0.042,20.0828,0.1512,0.0968,BCC
3,2.5855,1.3333,4.57,73.6333,0.0737,40.4148,0.3876,0.2025,IM
1,3.2827,1.9495,4.3343,57.4404,0.0128,14.8867,0.1238,0.2025,BCC
3,6.5504,1.7368,4.7028,67.7474,0.0468,26.6519,0.1779,0.2373,FCC
3,1.6062,2,4.2336,31.4364,0.0502,10.2281,0.3241,0.3302,IM
3,4.9852,1.5,4.42,83.975,0.0573,51.775,0.4022,0.5718,BCC
1,6.2506,1.6522,4.763,85.613,0.0557,22.4952,0.2345,0.1125,IM
3,6.5179,1.5294,4.4194,93.3471,0.0315,44.2381,0.3195,0.3675,BCC
3,4.7482,1.7222,4.4278,87.1472,0.0568,26.8381,0.336,0.4703,IM
3,5.4934,1.7692,4.6523,66.3692,0.0527,24.6438,0.1947,0.2286,IM
3,3.2695,1.8,4.71,75.74,0.0732,24.472,0.2941,0.1622,IM
4,6.182,1.8889,5.0111,67.6556,0.02,24.2272,0.0955,0.0611,FCC
1,42.9544,1.6667,4.7722,76.2777,0.0361,22.3852,0.1349,0.0858,FCC
1,2.456,2,4.6431,72.4692,0.0358,23.1811,0.1427,0.2797,BCC
1,3.2665,1.5,4.6625,70.925,0.0387,27.075,0.147,0.0878,FCC
1,3.5453,1.6667,4.6883,65.0335,0.0571,28.0334,0.2232,0.2039,IM
2,10.6886,1.5455,4.3418,58.0729,0.0347,35.7836,0.2647,0.2811,BCC
1,1.7311,1.8462,4.7354,69.3922,0.058,26.1018,0.2215,0.2064,IM
3,26.2978,1.6364,4.2055,45.7545,0.0375,28.3438,0.3869,0.3516,BCC
3,4.933,1.83,4.7939,73.764,0.0407,22.7082,0.1493,0.2116,FCC
1,2.5701,1.6,4.7,87.24,0.1018,38.808,0.4836,0.4209,BCC+FCC
3,55.8699,1.7143,4.3643,79.3714,0.0339,17.7415,0.1524,0.102,BCC+FCC
1,0.78,2.7368,4.3869,39.8738,0.027,16.8533,0.1526,0.5877,BCC+FCC
3,3.3378,1.8,4.718,79.21,0.0549,25.526,0.2248,0.2457,IM
1,4.4605,1.7317,4.7756,78.9535,0.037,20.6532,0.1596,0.0861,IM
1,1.994,1.7,4.693,70.36,0.0632,27.248,0.2661,0.1648,IM
3,30.4037,1.95,4.1292,27.1125,0.0467,6.8006,0.4485,0.4871,BCC
1,6.1756,1.6,4.496,100,0.069,38.08,0.4129,0.5203,BCC
